项目名称,项目简介,主要产品,业主方,所在地,行业,大类
旬邑县城至马栏红色旅游公路工程,"['该项目位于陕西省咸阳市旬邑县，路线起于旬邑县城东南接211国道，在马栏川道内布线，经崔家河、连家河、纸房、留石 村、赵家洞，设隧道从柏岭寺水库下游通过，后经石岭咀，宋家庄、梨家洼、麻村、蜈蚣洞、坪里村、榆林子、木咀，从黑牛窝沿马召公路改建，经地家坪，终点位 于马栏接省道306。路线全长37.448公里，其中改建17.907公里，新建19.541公里。全线采用二级公路标准，其中黑牛窝段K0- K33+147.679设计速度60公里/小时，黑牛窝段至终点段K33+147.696-K37+930段设计速度采用40公里/小时，全线路基宽采用10米，新建桥涵设计汽车载荷采用公路-II级，大中桥梁设计洪水频率为1/100。项目的设计由咸阳秦达公路勘察设计有限公司负责。', '项目总投资46094万元。']",路线全长37.448公里，其中改建17.907公里，新建19.541公里。全线采用二级公路标准。,['旬邑县交通运输局'],陕西省咸阳市旬邑县,交通运输,交通运输
黄陵县隆太塬灌区及县城供水工程,"['该项目位于陕西省延安市黄陵县，供水方案分四个阶段实，管道总长25.84公里，分三级泵站提水。第一阶段，取水点位于南沟门水库坝址内500米处，采用竖井泵房取水[安装潜水泵(350QJ320-90/2)7台]，单机抽水量为320立方米/时。一级竖井泵站至二级泵站，管线总长度为1.48公里，其中隧洞长为1.33公里，管道采用K9级DN600球墨铸铁管；第二阶段，二级泵站前池至三级泵站前池，管线总长度4.91公里，管道采用K9级DN600球墨铸铁管。连达沟右岸坡脚修建二级泵站（1000米）泵站前池，（安装KQSN300-N/816离心泵4台），抽水至三级泵站前池；第三阶段，三级泵站前池至县城净化水厂，管线总长度6.34公里（其中隧洞长2.8公里），管道采用DN400球墨铸铁管。在阿党镇瓦梧村西路边修建（2000米）三级泵站前池，由三级泵站前池将水采用重力输水方式自流到县城净化水厂；第四阶段，三级泵站前池至隆太塬灌区供水线路，管线总长度13.11公里，管道采用DN500球墨铸铁管。从瓦梧村三级泵站前池（安装KQSN300-N4/690离心泵4台）抽水沿公路提水至古路村（2000米）高位水池。供水规模为：工程计划年向隆太塬灌区供水量为383万立方米，年向县城供水量为283.2万立方米。', '项目总投资3000万元。']",管道总长25.84公里。年向隆太塬灌区供水量为383万立方米，年向县城供水量为283.2万立方米。,['黄陵县移民局'],陕西省延安市黄陵县,市政公用,其他
吴起县薛岔水源地供水工程隧洞工程,"['该项目位于陕西省延安市吴起县，建设大路沟隧洞工程，全长1.027千米，断面尺寸1.8*2.4米，洞内敷设2条压力管道；建设贺糜子隧洞工程，全长0.882千米，断面尺寸1.8*2.4米，洞内敷设1条压力管道。', '项目总投资2358.37万元。']",大路沟隧洞工程全长1.027千米，洞内敷设2条压力管道；贺糜子隧洞工程，全长0.882千米，洞内敷设1条压力管道。,['吴起县水务局'],陕西省延安市吴起县,市政公用,其他
陕西有色电子及光伏新材料产业化厂前区项目,"['该项目位于陕西省榆林市佳县工业园，由陕西有色天宏新能源有限公司投资建设，总建筑面积为33700平方米，包括办公楼 、餐厅、活动中心、公寓。', '项目总投资11000万元。']",总建筑面积为33700平方米。,['陕西有色天宏新能源有限公司'],陕西省榆林市佳县工业园,建筑,建筑
延安市市区供水管网延伸改造工程,"['该项目位于陕西省延安市，延河大桥至互通桥供水管网工程：计划铺设DN600供水管网2995米，敷设线路从延河大桥北侧河提现状DN900供水管接入，穿越延河、沿南河河床敷设至互通桥，与七里铺、马家湾现状供水管网连接，新增日输输水能力3万立方米。自来水公司净水厂门前原水管网改造工程：改造DN800原水管网593米，即改造净水厂门前的延河水源泵房至净水厂的原管道，并拆除、报废原有供水管网。', '项目总投资2803万元。']",延河大桥至互通桥供水管网工程：计划铺设DN600供水管网2995米；自来水公司净水厂门前原水管网改造工程：改造DN800原水管网593米。,['延安市自来水公司'],陕西省延安市,市政公用,其他
西咸新区能源金融大厦工程（更新）,"['该项目位于陕西省西安市西咸新区丝绸之路经济能源金融贸易园区内，范围为规划金融二路以西，规划能源一路以北，规划能源二路以南，规划金融三路以东，由西咸新区能源金贸实业有限公司投资建设，占地8900多平方米，总建筑面积5万多平方米。', '项目总投资21000万元。']",总建筑面积5万多平方米。,['西咸新区能源金贸实业有限公司'],陕西省西安市西咸新区丝绸之路经济能源金融贸易园区内,建筑,建筑
【VIP】国家高速公路银百线（G69）陕西境湫坡头（陕甘界）至旬邑公路工程（跟踪1）,"['该项目位于陕西省，起于花园村北侧、拟建跨越省界的支当河特大桥甘肃岸桥头，与银百线甘肃段相接，之后沿湫坡头北侧北崖头附近的黄土梁设线，下穿G211，跨越黄土冲沟爬坡上塬后，经枣子山至看花宫村西侧，之后转向西南沿黄土梁设线，跨过黄土沟后向南沿塬面设线，经张家村、文家村后穿过太村产业园东南，再经胡家村、新丰村，在赤道乡西南与银百线咸旬高速公路相接。项目路线全长23.36公里，桥隧比例17.4%，全线设互通式立交2处（其中枢纽1处），分离式立交10处，主线收费站1处，匝道收费站1处，停车区1处。技术标准：全线采用双向四车道高速公路技术标准，设计速度80公里/小时，路基宽24.5米。', '项目总投资225950万元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，该项目前期工作正在在进行，可研还没完成报批。', '（2）设计工作情况：该项目目前刚完成勘察设计招标，由西安公路研究院负责。', '（3）土建施工情况：该项目主体施工尚未开始，明年也不一定能开工，工期4年。', '（4）设备采购情况：该项目设备未采购，采购时间根据施工进度。']",路线全长23.36公里，全线采用双向四车道高速公路技术标准。,['陕西省交通建设集团公司'],陕西省,交通运输,交通运输
【VIP】年产120万吨真空制盐工程项目,"['该项目位于陕西省榆林市佳县王家砭镇王寨村，投资建设120万吨/年真空制盐工程项目，包括配套矿山、热电站建设。', '项目总投资30000万元。', '项目进展情况：', '（1）前期工作情况：截至目前，该项目前期手续已获批；', '（2）设计工作情况：该项目由中盐制盐工程技术研究院成都分院负责设计，目前初步设计已完成，施工图设计尚未开始；', '（3）土建施工情况：该项目尚未招标施工单位，具体施工招标时间尚定；', '（4）设备采购情况：该项目尚未制定设备采购计划，具体采购时间未定。', '（5）备注：榆能集团佳县盐化有限公司由榆林市盐田开发有限责任公司与府谷县恒源煤焦电化有限公司合资成立，该项目目前由榆林市盐田开发有限公司负责前期建设工作。']",建设120万吨/年真空制盐工程项目，包括配套矿山、热电站建设。,"['榆能集团佳县盐化有限公司', '榆林市盐田开发有限责任公司']",陕西省榆林市佳县王家砭镇王寨村,"化工医药,轻纺食品",其他
【VIP】100万吨每年煤焦油综合利用（二期）项目,"['该项目位于陕西省榆林市神木县锦界工业园区东南部，由陕西延长石油安源化工有限公司投资建设，二期建设50万吨/年煤焦油综合利用示范装置。', '项目总投资300000万元。', '项目进展情况：', '（1）前期工作情况：截至目前，二期尚在前期规划中，业主表示该项目最快也要2016年上半年启动建设；', '（2）设计工作情况：目前该项目尚未暂未联系设计单位；', '（3）土建施工情况：该项目目前暂未委托施工单位；', '（4）设备采购情况：该项目目前压缩机等主体设备暂未开始采购，具体采购时间暂未确定。', '（5）备注：一期50万吨/年煤焦油综合利用示范装置项目目前设备及物资全部采购结束，正在试生产，二期50万吨/年煤焦油综合利用示范装置项目计划2016年上半年启动']",二期建设50万吨/年煤焦油综合利用示范装置。,['陕西延长石油安源化工有限公司'],陕西省榆林市神木县锦界工业园区东南部,化工医药,化工医药
郭家湾煤矿锅炉烟气除尘脱硫改造项目,"['该项目位于陕西省榆林市府谷县，由榆林神华能源有限责任公司投资建设，对郭家湾煤矿锅炉进行烟气除尘脱硫改造。', '项目总投资1亿元。']",对郭家湾煤矿锅炉进行烟气除尘脱硫改造。,['榆林神华能源有限责任公司'],陕西省榆林市府谷县,环保,其他
榆林市横山县第二中学迁建项目,"['该项目位于陕西省榆林市横山县，由榆林市横山县教育局投资建设，建筑面积69000平方米，包括12班幼儿园、教学楼 、实验楼、艺术楼、办公楼、阶梯教室、宿舍楼、教师公寓、操场。', '项目总投资2亿元。']",建筑面积69000平方米。,['榆林市横山县教育局'],陕西省榆林市横山县,建筑,建筑
【VIP】千河陇县段防洪治理工程,"['该项目位于陕西省宝鸡市陇县，项目概况：千河陇县段防护治理工程陇县城区段防洪工程设计标准为30年一遇；其他为农防段，按10年一遇防洪标准；护岸工程按10年一遇设计标准。本次防洪治理工程建设内容以堤防工程为主，兼顾工程管理建设。防洪工程主要是通过新建及加培堤防、新修护坡、护岸、河道整治等建设，提高和完善现状河道的防洪能力。共计新建堤防2.014公里；加培堤防1.897公里；新修护坡19.987公里；新修护岸44.843公里。新修混凝土路面11.798公里；新修泥结石路面12.949公里。', '项目总投资15000万元。', '项目跟踪情况：', '（1）前期工作情况：从业主处获悉，该项目前期立项审批等手续正在办理。', '（2）设计工作情况：该项目由宝鸡市江河水利水电设计院负责设计工作，目前刚刚完成初步设计的上报工作。', '（3）土建施工情况：该项目目前未开工，需待前期立项等手续完成后计划开工时间，届时会公开招标施工单位。', '（4）设备采购情况：该项目设备未开始采购，采购时间待定。']",新建堤防2.014公里；加培堤防1.897公里；新修护坡19.987公里；新修护岸44.843公里。,['陇县抗旱防汛工程建设项目办公室'],陕西省宝鸡市陇县,"农林水利,生态休闲旅游",其他
宝鸡市文化艺术中心建设项目,"['该项目位于陕西省宝鸡市金台区，兴建五幢数层高的文化艺术中心，总建筑面积为101233平方米，包括图书馆、群众艺术馆、青少年活动中心、科技馆、音乐厅、美术馆。', '项目总投资5亿元。']",总建筑面积为101233平方米。,['宝鸡市投资(集团)有限公司文化艺术中心工程建设项目部'],陕西省宝鸡市金台区,建筑,建筑
西安市临潼区行者至北田渭河特大桥扩建工程（更新）,"['该项目位于陕西省西安市临潼区，起于临潼北环线铁路、已建成的郑西高铁、在建的西大高铁，路线跨渭河，路线终点为渭河北岸防洪提，与在建的渭北工业园区“秦王一路—滨河大道立交”跨线桥衔接，全长4.68公里，其中南引线长2.0公里，主桥长1.86公里，北立交引线0.82公里，桥面宽17米，单幅单向4车道，二级公路设计标准，设计行车速度60公里/小时，桥梁荷载为公路-Ⅰ级。', '项目总投资36697万元。']",全长4.68公里，其中主桥长1.86公里。,['西安市临潼区交通运输局'],陕西省西安市临潼区,交通运输,交通运输
焦炉煤气综合利用项目,"['该项目位于陕西省渭南韩城市龙门镇龙门工业园区，由陕西龙钢金马化工有限责任公司 投资建设，综合利用海燕等焦化厂的焦炉煤气，盈德制氧厂排放的氮气，龙钢石灰窑排放尾气中的二氧化碳，建设30万吨合成氨、52万吨尿素和10万吨苯加氢生产线，以及配套的公用工程和辅助工程设施。 备注：由于该项目市场环境不好，项目建设可能推迟。', '项目总投资109300万元。']",综合利用海燕等焦化厂的焦炉煤气，盈德制氧厂排放的氮气，龙钢石灰窑排放尾气中的二氧化碳，建设30万吨合成氨、52万吨尿素和10万吨苯加氢生产线，以及配套的公用工程和辅助工程设施。,['陕西龙钢金马化工有限责任公司'],陕西省渭南韩城市龙门镇龙门工业园区,化工医药,化工医药
大唐新能源榆林定边胡尖山风电场项目,"['该项目位于陕西省榆林市定边县，由大唐定边风力发电有限责任公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['大唐定边风力发电有限责任公司'],陕西省榆林市定边县,电力,电力
中电投榆林定边王圈风电场项目,"['该项目位于陕西省榆林市定边县，由黄河水电定边新能源有限责任公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['黄河水电定边新能源有限责任公司'],陕西省榆林市定边县,电力,电力
华能榆林定边谷梁风电场项目,"['该项目位于陕西省榆林市定边县，由华能定边新能源发电有限公司投资建设，装机规模10万千瓦。', '项目总投资90000万元。']",装机规模10万千瓦。,['华能定边新能源发电有限公司'],陕西省榆林市定边县,电力,电力
10万吨芳构化（二期）项目,"['该项目位于陕西省延安市富县牛武镇阳畔村，由富县瑞通精细化工有限责任公司投资建设，二期计划建设10万吨芳构化项目。 备注：一期项目为年产20万混合轻烃分离项目，目前正在进行施工收尾工作，设备已采购完成，暂未安装完毕，本项目为二期年产10万吨芳构化工程，目前暂未启动。', '项目总投资10000万元。']",规划在陕西省延安市富县牛武镇阳畔村建设10万吨芳构化项目。,['富县瑞通精细化工有限责任公司'],陕西省延安市富县牛武镇阳畔村,化工医药,化工医药
国电榆林定边新庄风电场项目,"['该项目位于陕西省榆林市定边县，由国电陕西风力发电有限公司投资建设，装机规模10万千瓦。', '项目总投资9亿元。']",装机规模10万千瓦。,['国电陕西风力发电有限公司'],陕西省榆林市定边县,电力,电力
龙源安康汉阴早阳风电场（一期）项目,"['该项目位于陕西省安康市汉阴县，由龙源陕西风电公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['龙源陕西风力发电有限公司'],陕西省安康市汉阴县,电力,电力
华电榆林定边张崾先风电场项目,"['该项目位于陕西省榆林市定边县，由陕西华电风力发电有限公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['陕西华电风力发电有限公司'],陕西省榆林市定边县,电力,电力
三峡榆林绥德张家峰风电场（一期）项目,"['该项目位于陕西省榆林市绥德县，由三峡新能源公司陕西分公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['三峡新能源公司陕西分公司'],陕西省榆林市绥德县,电力,电力
龙源安康汉阴早阳风电场（二期）项目,"['该项目位于陕西省安康市汉阴县，由龙源陕西风电公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['龙源陕西风力发电有限公司'],陕西省安康市汉阴县,电力,电力
子长县红石峁水库输水管道等工程,"['该项目位于陕西省延安市子长县，工程建设内容：新建输水管线6.752公里，新建引水枢纽及充库泵站工程，新建598米上坝道路、供电工程及安全监测系统。', '项目总投资2500万元。']",新建输水管线6.752公里，新建引水枢纽及充库泵站工程，新建598米上坝道路、供电工程及安全监测系统。,['子长县红石峁水库建设管理处'],陕西省延安市子长县,市政公用,其他
南郑县圣水镇污水处理工程,"['该项目位于陕西省汉中市南郑县汉中，拟建污水处理厂及配套管网，日处理污水2200立方米，污水处理采用AAO工艺，二氧化氯消毒，污泥采用机械浓缩脱水工艺。', '项目总投资2019万元。']",日处理污水2200立方米。,['汉中市江南环保投资建设有限公司'],陕西省汉中市南郑县汉中,"市政公用,环保",其他
【VIP】连续重整生成油降低芳烃技术改造项目,"['该项目位于陕西省延安市洛川县交口河镇，由陕西延长石油集团有限公司炼化公司投资建设，建设120万吨/年连续重整生成油降低芳烃技术改造项目。', '项目总投资7260万元。', '项目进展情况：', '（1）前期工作情况：截至目前，该项目各项前期相关手续已办理完毕；', '（2）设计工作情况：该项目设计由北京石油化工工程有限公司负责，目前初步设计已经完成，正在准备施工图设计，由于设计院和设备厂家之间沟通存在很大问题，目前设计进度缓慢，预计2015年年底才能出图；', '（3）土建施工情况：目前甲方暂未委托施工单位，业主计划部分项目采用施工总包的形式进行招标；', '（4）设备采购情况：据业主介绍，该项目所需长周期等主体设备由业主自行招标采购，目前招标已经结束，其余配套设备由施工单位负责招标，目前暂未开始采购。']",建设120万吨/年连续重整生成油降低芳烃技术改造项目。,['陕西延长石油集团有限公司炼化公司'],陕西省延安市洛川县交口河镇,化工医药,化工医药
南郑县新集镇污水处理工程,"['该项目位于陕西省汉中市南郑县汉中，拟建污水处理厂及配套管网，日处理污水2000立方米，污水处理采用AAO工艺，二氧化氯消毒，污泥采用机械浓缩脱水工艺。', '项目总投资1509万元。']",日处理污水2000立方米。,['汉中市江南环保投资建设有限公司'],陕西省汉中市南郑县汉中,"市政公用,环保",其他
南郑县青树镇污水处理工程,"['该项目位于陕西省汉中市南郑县，拟建污水处理厂及配套管网，日处理污水1500立方米，污水处理采用CAST工艺，二氧化氯消毒，污泥采用机械浓缩脱水工艺。', '项目总投资1617万元。']",日处理污水1500立方米。,['汉中市江南环保投资建设有限公司'],陕西省汉中市南郑县,"市政公用,环保",其他
铜川新区第一小学建设项目,"['该项目位于陕西省铜川市新区西临长虹北路，北侧为灌溉渠，由铜川市新区朝阳实验小学筹建处投资建设，占地面积为28044平方米，包括办公楼、教学楼、实验楼、食堂。', '项目总投资9000万元。']",占地面积为28044平方米。,['铜川市新区朝阳实验小学筹建处'],陕西省铜川市新区西临长虹北路，北侧为灌溉渠,建筑,建筑
龙源延安吴起周湾风电场（三期）项目,"['该项目位于陕西省延安市，由国电龙源吴起新能源公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['国电龙源吴起新能源公司'],陕西省延安市,电力,电力
陕西郝滩风电升压站-油房庄风电升压站-定边330千伏送出工程,"['该项目位于陕西省榆林市定边县，本期330kV定边变电站扩建1回330kV出线间隔。330kV输电线路工程包括三部分：新建330kV郝滩风电升压站～油房庄风电升压站同塔双回架空线路2×34.7km；新建油房庄风电升压站～330kV定边变电站单回架空线路21.5km。新建郝滩风电升压站-定边π入油房庄风电升压站330kV线路单回路0.05 km ，双回路2×0.05km。', '项目总投资5000万元。']",扩建1回330kV出线间隔。,['陕西省电力公司'],陕西省榆林市定边县,电力,电力
华能新能源榆林定边周台子北畔风电场项目,"['该项目位于陕西省榆林市定边县，由华能定边新能源发电有限公司投资建设，装机规模10万千瓦。', '项目总投资90000万元。']",装机规模10万千瓦。,['华能定边新能源发电有限公司'],陕西省榆林市定边县,电力,电力
眉县远门河水库工程,"['该项目位于陕西省宝鸡市眉县，工程建设规模：水库总库容约120万立方米。目前项目的前期初步设计正在等待批复，初步计划2015年下半年启动施工，届时会公开招标施工单位。', '项目总投资12000万元。']",项目总库容约120万立方米。,['眉县抗旱应急水源工程建设项目办公室'],陕西省宝鸡市眉县,农林水利,其他
一期装置技术改造项目,"['该项目位于陕西省榆林市榆横煤化工业园区，由陕西延长石油榆林煤化有限公司投资建设，依托一期20万吨/年醋酸及配套项目现状和平面布置情况，通过扩能改造达到满足20万吨/年甲醇、30万吨/年醋酸及15万吨/年制油装置同时运行的目的，项目设计内容包括新增一套水煤浆气化、煤浆制备、灰水处理、变换、净化和一氧化碳分离等装置、配套公用工程及新老装置衔接的基础设计与详细设计。', '项目总投资约0万元。']",依托一期20万吨/年醋酸及配套项目现状和平面布置情况，通过扩能改造达到满足20万吨/年甲醇、30万吨/年醋酸及15万吨/年制油装置同时运行的目的，项目设计内容包括新增一套水煤浆气化、煤浆制备、灰水处理、变换、净化和一氧化碳分离等装置、配套公用工程及新老装置衔接的基础设计与详细设计。,['陕西延长石油榆林煤化有限公司'],陕西省榆林市榆横煤化工业园区,化工医药,化工医药
大西沟铁矿800万吨采选工程,"['该项目位于陕西省商洛市柞水县，由陕西大西沟矿业有限公司投资建设，建设大西沟铁矿800万吨采选工程；', '项目总投资279000万元。']",建设大西沟铁矿800万吨采选工程。,['陕西大西沟矿业有限公司'],陕西省商洛市柞水县,能源矿产,能源矿产
龙源延安吴起周湾风电场（四期）项目,"['该项目位于陕西省延安市吴起县，由国电龙源吴起新能源公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['国电龙源吴起新能源公司'],陕西省延安市,电力,电力
年产硅锰10万吨（容量2×25000KVA）项目,"['该项目位于陕西省府谷县恒源循环经济示范工业园区，由府谷县三江能源化工有限公司投资建设，建设建设硅锰10万吨/年（容量2×25000KVA）项目。 备注：该项目目前由于市场原因，暂未启动，手续暂未开始正式办理。', '项目总投资约20000万元。']",建设建设硅锰10万吨/年（容量2×25000KVA）项目。,['府谷县三江能源化工有限公司'],陕西省府谷县恒源循环经济示范工业园区,冶金,能源矿产
年产锰铁3万吨（容量2×3500KVA）项目,"['该项目位于陕西省府谷县恒源循环经济示范工业园区，由府谷县三江能源化工有限公司投资建设，建设锰铁3万吨/年（容量2×3500KVA）。 备注：该项目目前由于市场原因，暂未启动，手续暂未开始正式办理。', '项目总投资约20000万元。']",建设锰铁3万吨/年（容量2×3500KVA）。,['府谷县三江能源化工有限公司'],陕西省府谷县恒源循环经济示范工业园区,冶金,能源矿产
年产50万吨加氢尾油催化裂化项目,"['该项目位于陕西省府谷县恒源循环经济工业小区西区，由府谷县三江能源化工有限公司投资建设，建设50万吨/年加氢尾油催化裂化生产线及其配套的辅助工程和公用工程设施。 备注：该项目目前由于市场原因，暂未启动，目前前期手续暂未开始正式办理。', '项目总投资约3亿元。']",建设50万吨/年加氢尾油催化裂化生产线及其配套的辅助工程和公用工程设施。,['府谷县三江能源化工有限公司'],陕西省府谷县恒源循环经济工业小区西区,化工医药,化工医药
金属镁及镁合金产品项目,"['该项目位于陕西省府谷县恒源循环经济示范工业园区，由府谷县三江能源化工有限公司投资建设，建设年产4万吨金属镁及镁合金产品。', '项目总投资约18000万元。']",建设年产4万吨金属镁及镁合金产品。,['府谷县三江能源化工有限公司'],陕西省府谷县恒源循环经济示范工业园区,冶金,能源矿产
煤浆污水处理项目,"['该项目位于陕西省渭南市华县瓜坡镇，陕西陕化煤化工集团有限公司现有厂区已经建设有污水处理装置，由于原料煤形式发生变化，致使生产装置原有部分废水无法回收再用，总量达到了每小时150立方米，现将针对这股废水综合考虑进行处理，需新建污水处理站。污水处理装置设计分两个部分，第一部分属于污水处理部分，设计进入污水处理装置的所有污水全部达标排放；第二部分回用水处理部分，达标排放的污水进入回用水装置，产水用于循环冷却水的补充水(回用率大于75%)。对于所有废水，工程要考虑先进行分质预处理。', '项目总投资3000万元。']",新建污水处理站。,['陕西陕化煤化工集团有限公司'],陕西省渭南市华县瓜坡镇,环保,其他
延安新区北区第一九年制义务教育学校项目,"['该项目位于陕西省延安市新区北区，由延安市新区管理委员会投资建设，规划总建筑面积60021.29平方米，其中地上建筑面积51817.64平方米，地下建筑面积8203.65平方米。共设置72个教学班，其中中学36个教学班，小学36个教学班，400米标准环形跑道、4个篮球场、4个羽毛球场、乒乓球场若干、风雨操场一处、篮球场用地地下部分设置标准游泳池。', '项目总投资17090万元。']",规划总建筑面积60021.29平方米，其中地上建筑面积51817.64平方米，地下建筑面积8203.65平方米。,['延安市新区管理委员会'],陕西省延安市新区北区,建筑,建筑
中广核渭南潼关港口风电场项目,"['该项目位于陕西省渭南市潼关县，由中广核风电有限公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['中广核风电有限公司'],陕西省渭南市潼关县,电力,电力
中广核榆林榆阳小壕兔风电场（一期）项目,"['该项目位于陕西省榆林市榆阳区，由中广核风电有限公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['中广核风电有限公司'],陕西省榆林市榆阳区,电力,电力
华润延安吴起长城风电场（一期）项目,"['该项目位于陕西省延安市，由华润新能源投资有限公司投资建设，装机规模5万千瓦。', '项目总投资4亿元。']",装机规模5万千瓦。,['华润新能源控股有限公司山西分公司'],陕西省延安市,电力,电力
【VIP】新民塬电厂（一期）2×1000兆瓦脱硫脱硝工程,"['该项目位于陕西省咸阳市彬县，由陕西彬长新民塬发电有限公司投资建设，对2×1000MW超超临界空冷燃煤发电机组进行烟气脱硫脱硝处理。', '项目总投资4亿元。', '项目进展情况：', '（1）前期工作情况：截至目前，项目尚未拿到路条，可研由山东电力工程咨询院有限公司负责，前期工作正在进行中。', '（2）设计工作情况：项目设计尚未开展，设计单位暂未确定。', '（3）土建施工情况：目前尚未开始主体施工，预计年底可以开工。', '（4）设备采购情况：主体设备尚未采购，采购时间不确定。']",对2×1000MW超超临界空冷燃煤发电机组进行烟气脱硫脱硝处理。,['陕西彬长新民塬发电有限公司'],陕西省咸阳市彬县,"电力,环保",电力
高新区草堂基地水厂（三期）工程,"['该项目位于陕西省西安市户县，日供水10万立方米。建设内容包括：改扩建的构(建)筑物有加氯加药间，总变配电室，厂内工艺管道，化验室；增加一路供电电源；新建的构(建)筑物有格栅间1座，混合反应沉淀池2座，气水反冲洗滤池、反冲洗间1座，清水池2座。排泥、回用水调节池1座，浓缩系统1套，泥脱水间1座。从业主获悉，该项目前期手续还在办理中，计划今年下半年开工。', '项目总投资10038万元。']",日供水10万立方米。,['西安水务(集团)有限责任公司'],陕西省西安市户县,市政公用,其他
【VIP】陕西彬长煤电一体化项目新民塬电厂（一期）2×1000兆瓦工程（跟踪1）,"['该项目位于陕西省咸阳市彬县，由陕西彬长新民塬发电有限公司投资建设，规划容量4×1000MW机组，一期建设2×1000MW超超临界空冷燃煤发电机组。', '项目总投资76亿元。', '项目进展情况：', '（1）前期工作情况：截至目前，项目尚未拿到路条，可研由山东电力工程咨询院有限公司负责，前期工作正在进行中。', '（2）设计工作情况：项目设计尚未开展，设计单位暂未确定。', '（3）土建施工情况：目前尚未开始主体施工，预计年底可以开工。', '（4）设备采购情况：主体设备尚未采购，采购时间不确定。']",建设2×1000MW超超临界空冷燃煤发电机组。,['陕西彬长新民塬发电有限公司'],陕西省咸阳市彬县,电力,电力
华润宝鸡陇县丰台山风电场项目,"['该项目位于陕西省宝鸡市陇县，由华润新能源投资有限公司投资建设，装机规模10万千瓦。', '项目总投资90000万元。']",装机规模10万千瓦。,['华润新能源控股有限公司山西分公司'],陕西省宝鸡市陇县,电力,电力
电石炉炉气净化项目,"['该项目位于陕西省榆林市神木县锦界镇枣梢沟村，由陕西北元集团锦源化工有限公司投资建设，具体为2×40.5M VA3#、4#电石炉炉气净化项目。', '项目总投资12.41万元。']",2×40.5M VA3#、4#电石炉炉气净化项目。,['陕西北元集团锦源化工有限公司'],陕西省榆林市神木县锦界镇枣梢沟村,化工医药,化工医药
延安市市区供水管网延伸改造工程（更新）,"['该项目位于陕西省延安市，延河大桥至互通桥供水管网工程：计划铺设DN600供水管网2995米，敷设线路从延河大桥北侧河提现状DN900供水管接入，穿越延河、沿南河河床敷设至互通桥，与七里铺、马家湾现状供水管网连接，新增日输输水能力3万立方米。自来水公司净水厂门前原水管网改造工程：改造DN800原水管网593米，即改造净水厂门前的延河水源泵房至净水厂的原管道，并拆除、报废原有供水管网。项目的设计由延安健设市政设计有限责任公司负责。', '项目总投资2803万元。']",延河大桥至互通桥供水管网工程：计划铺设DN600供水管网2995米；自来水公司净水厂门前原水管网改造工程：改造DN800原水管网593米。,['延安市自来水公司'],陕西省延安市,市政公用,其他
国华榆林神木薛家畔风电场项目,"['该项目位于陕西省榆林市神木县，由国华(榆林）新能源有限公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['国华(榆林）新能源有限公司'],陕西省榆林市神木县,电力,电力
蒲城县城区供水管网扩容改造项目,"['该项目位于陕西省渭南市蒲城县，建设DN200-315PE管道17.277公里及附属设施，其中延安街段3.014公里，红旗街段2.99公里，东风街段3.03公里，朝阳街段3.063公里，解放路段3.17公里，穿路支管2.01公里。建设水量调配中心一处。', '项目总投资1000万元。']",建设DN200-315PE管道17.277公里及附属设施；建设水量调配中心一处。,['蒲城县城乡供水总站'],陕西省渭南市蒲城县,市政公用,其他
羊毛湾引水工程,"['该项目位于陕西省咸阳市乾县，本工程为县城及乡镇集中供水工程，建设全长20.56公里的输水隧洞及管道，建成后年供水总量达1216.8万立方米，最高日供水规模为4.33万立方米，日变系数1.3，设计流量为0.502立方米/秒。主要解决设计水平年2020年乾县县城14.0万人及沿途石牛、临平、新阳、漠西四乡镇4.82万人的用水问题。', '项目总投资25882.8万元。']",年供水总量达1216.8万立方米，最高日供水规模为4.33万立方米。,['羊毛湾引水工程建设管理处'],陕西省咸阳市乾县,"农林水利,市政公用",其他
龙源宝鸡凤县堆子村风电场项目,"['该项目位于陕西省宝鸡市凤县，由龙源陕西风力发电有限公司投资建设，装机规模5万千瓦。', '项目总投资40000万元。']",装机规模5万千瓦。,['龙源陕西风力发电有限公司'],陕西省宝鸡市凤县,电力,电力
